;;;;;;
;;;;;;
;;;;;;
;;;;;;
EAN;Titolo;Autore;Editore;Genere (livello 1);Data di Uscita;NazionalitÖ dell'autore
9788845925023;Un giorno questo dolore ti sarÖ utile;Cameron Peter;ADELPHI;FICTION;09/06/2010;STRANIERO
9788864201887;One piece. New edition. Vol. 2;Oda Eiichiro;STAR COMICS;FICTION;20/03/2008;STRANIERO
9788817179836;D'amore ci si ammala, d'amore si guarisce. Poni le giuste basi per avere una vita affettiva appagante;Sepe Ana Maria, De Simone Anna;RIZZOLI;NON FICTION VARIE;04/07/2023;
9788828847908;Manuale di diritto privato;Torrente Andrea;GIUFFR‘;NON FICTION GENERALI;24/07/2023;
9788804752370;Top collection 1+1 (2023);AA.VV.;MONDADORI;UNKNOWN;14/02/2023;
9788806257972;Non si uccide il primo che passa. L?estate rovente di Contrera;Frascella Christian;EINAUDI;FICTION;03/10/2023;ITALIANO
9788856691825;La pace ä...;Stilton Geronimo;PIEMME;BAMBINI/RAGAZZI;19/09/2023;
9788806256371;La banda dei carusi;Cassar Scalia Cristina;EINAUDI;FICTION;27/06/2023;ITALIANO
9788860086631;La linguistica. Un corso introduttivo;Berruto Gaetano, Cerruti Massimo;UTET UNIVERSIT∑;NON FICTION GENERALI;20/04/2022;
9788867904198;Sfida all'ultima battuta;Pera Toons;TUNUê;BAMBINI/RAGAZZI;04/10/2021;
9788806242329;Il treno dei bambini;Ardone Viola;EINAUDI;FICTION;24/09/2019;ITALIANO
9788806245702;Se i gatti scomparissero dal mondo;Kawamura Genki;EINAUDI;FICTION;03/06/2020;STRANIERO
9788806255152;La vita intima;Ammaniti Niccolï;EINAUDI;FICTION;17/01/2023;ITALIANO
9788829705320;Circe;Miller Madeline;MARSILIO;FICTION;14/01/2021;STRANIERO
9788838935688;Una vita come tante;Yanagihara Hanya;SELLERIO EDITORE PALERMO;FICTION;10/11/2016;STRANIERO
9788896568132;Facile facile. Libro di italiano per studenti stranieri. A1 livello principianti;Mattioli Laura;NINA;NON FICTION VARIE;22/10/2018;
9788864201894;One piece. New edition. Vol. 3;Oda Eiichiro;STAR COMICS;FICTION;21/04/2008;STRANIERO
9788830460591;Nel cerchio del male;Patterson James;LONGANESI;FICTION;19/09/2023;STRANIERO
9788842931546;L'inverno dei Leoni. La saga dei Florio;Auci Stefania;NORD;FICTION;24/05/2021;ITALIANO
9788826608402;Laudate Deum;Francesco (Jorge Mario Bergoglio);LIBRERIA EDITRICE VATICANA;NON FICTION GENERALI;04/10/2023;
9788830448766;Madre d'ossa;Tuti Ilaria;LONGANESI;FICTION;06/06/2023;ITALIANO
9791281368002;Amiche per sempre;Fader Molly;LIBRERIA PIENOGIORNO;FICTION;05/07/2023;STRANIERO
9788820076559;Ugly Love. Ediz. italiana;Hoover Colleen;SPERLING & KUPFER;FICTION;04/07/2023;STRANIERO
9788864201795;One piece. Vol. 1;Oda Eiichiro;STAR COMICS;FICTION;01/07/2001;STRANIERO
9788858017395;I colori delle emozioni;Llenas Anna;GRIBAUDO;BAMBINI/RAGAZZI;06/04/2017;
9788804777632;Azadi! Un diario di viaggio, prigionia e libertÖ;Piperno Alessia;MONDADORI;NON FICTION GENERALI;26/09/2023;
9788845906862;L'insostenibile leggerezza dell'essere;Kundera Milan;ADELPHI;FICTION;29/05/1989;STRANIERO
9788891839176;Veg no stress. La dispensa vegana. Ricette vegetali facili e veloci per tutta la famiglia;Busato Ilaria;MONDADORI ELECTA;NON FICTION VARIE;12/09/2023;
9788856691610;La fabbrica delle tuse. Le ragazze del cioccolato;Cavagna di Gualdana Giacinta;PIEMME;FICTION;26/09/2023;ITALIANO
9791280229847;La ragazza di Teheran;Kamali Marjan;LIBRERIA PIENOGIORNO;FICTION;22/02/2023;STRANIERO
9788817161367;Per questo mi chiamo Giovanni. Da un padre a un figlio il racconto della vita di Giovanni Falcone;Garlando Luigi;RIZZOLI;BAMBINI/RAGAZZI;03/05/2022;
9788864201900;One piece. New edition. Vol. 4;Oda Eiichiro;STAR COMICS;FICTION;21/05/2008;STRANIERO
9788817050166;Intelligenza emotiva. Che cos'ä e perchÇ puï renderci felici;Goleman Daniel;RIZZOLI;NON FICTION VARIE;25/05/2011;
9788891417671;La patente di guida. Manuale teorico e quiz per l'esame. Categorie A e B e relative sottocategorie;AA.VV.;EDIZIONI GIURIDICHE SIMONE;NON FICTION VARIE;19/06/2018;
9788804772118;Le cittÖ invisibili;Calvino Italo;MONDADORI;FICTION;05/10/2022;ITALIANO
9788893304498;Il libro delle risposte;Pera Toons;PON PON EDIZIONI;BAMBINI/RAGAZZI;21/06/2023;
9788806259105;God Save the Queer. Catechismo femminista;Murgia Michela;EINAUDI;NON FICTION GENERALI;01/11/2022;
9788894814484;Sputiamo su Hegel. E altri scritti;Lonzi Carla;LA TARTARUGA;NON FICTION GENERALI;05/09/2023;
9788850267125;LeBron. La storia di LeBron James;Benedict Jeff;TEA;NON FICTION GENERALI;26/09/2023;
9788806232467;Chir£;Murgia Michela;EINAUDI;FICTION;18/10/2016;ITALIANO
9788808064851;Analisi matematica 1;Bramanti Marco;ZANICHELLI;NON FICTION GENERALI;21/07/2008;
9788804727866;Come una notte a Bali;Gotto Gianluca;MONDADORI;FICTION;22/09/2020;ITALIANO
9788822764744;Bugiarde si diventa;Kingsley Felicia;NEWTON COMPTON EDITORI;FICTION;16/05/2023;ITALIANO
9788806259440;Delitto all'ora del vespro;Coles Richard;EINAUDI;FICTION;12/09/2023;STRANIERO
9788836012770;Codice civile e leggi complementari 2023;Franchi Luigi;HOEPLI;NON FICTION GENERALI;20/01/2023;
9788833576015;Il quaderno dell'amore perduto;Perrin ValÇrie;E/O;FICTION;22/03/2023;STRANIERO
9788830100237;I libri di Jakub;Tokarczuk Olga;BOMPIANI;FICTION;06/09/2023;STRANIERO
9791280229892;Spegni sto c***o di cervello. Il geniale metodo scorretto (ma scientifico) per vincere stress, ansia e tutto ciï che ti guasta la vita e ritrovare una volta per tutte la meritata felicitÖ;Harper Faith G.;LIBRERIA PIENOGIORNO;NON FICTION VARIE;26/04/2023;
9788809891326;Atlas. La storia di Pa? Salt. Le sette sorelle;Riley Lucinda;GIUNTI EDITORE;FICTION;11/05/2023;STRANIERO
9788852242472;Il cuore dell'amicizia. W.I.T.C.H. Il reboot;AA.VV.;DISNEY LIBRI;BAMBINI/RAGAZZI;04/10/2023;
9791259571793;The truth untold. La veritÖ nascosta;Rokia;MAGAZZINI SALANI;FICTION;13/09/2022;ITALIANO
9788804728689;Dieci piccoli indiani. E non rimase nessuno;Christie Agatha;MONDADORI;FICTION;20/04/2020;STRANIERO
9788820078706;E tu lo sapevi? Tutto ciï che devi conoscere per sopravvivere al mondo del lavoro;Grazini Sabrina;SPERLING & KUPFER;NON FICTION VARIE;26/09/2023;
9788831017268;La cuoca segreta di Frida;Etcheves Florencia;SALANI;FICTION;15/09/2023;STRANIERO
9788807900143;Il Maestro e Margherita;Bulgakov Michail;FELTRINELLI;FICTION;26/02/2014;STRANIERO
9791255170204;Sweet home. Ediz. italiana;Cole Tillie;ALWAYS PUBLISHING;FICTION;26/09/2023;STRANIERO
9788842914365;Una stanza piena di gente;Keyes Daniel;NORD;FICTION;19/11/2009;STRANIERO
9791259571953;Stigma;Doom Erin;MAGAZZINI SALANI;FICTION;16/05/2023;ITALIANO
9788822732187;La ragazza scomparsa;Marsons Angela;NEWTON COMPTON EDITORI;FICTION;13/06/2019;STRANIERO
9781791934040;Suoni e silenzi: Il solfeggio pió facile del mondo;Iannuzzi Libero;INDEPENDENTLY PUBLISHED;NON FICTION GENERALI;18/12/2018;
9788896568026;Facile facile. Libro di italiano per studenti stranieri. A0 livello principianti assoluti;Mattioli Laura;NINA;NON FICTION VARIE;01/12/2010;
9788811008446;Mentre aspetti la cioccolata;Aoyama Michiko;GARZANTI;FICTION;19/09/2023;STRANIERO
9788809932432;Heavy & light. Westwell. Ediz. italiana. Vol. 1;Kiefer Lena;GIUNTI EDITORE;FICTION;20/09/2023;STRANIERO
9788822642707;Dr. Stone. Vol. 25;Inagaki Riichiro;STAR COMICS;FICTION;04/10/2023;STRANIERO
9788872241233;Lo svezzamento ä vostro! Manuale pratico di autosvezzamento;Pediatra Carla;SONDA;NON FICTION VARIE;18/02/2021;
9788804682240;L'arte di essere fragili. Come Leopardi puï salvarti la vita;D'Avenia Alessandro;MONDADORI;NON FICTION GENERALI;08/10/2019;
9788804774112;Il barone rampante;Calvino Italo;MONDADORI;FICTION;25/10/2022;ITALIANO
9788806247973;Oliva Denaro;Ardone Viola;EINAUDI;FICTION;28/09/2021;ITALIANO
9788822775870;L'amore al primo posto. Lovelight;Borison B.K.;NEWTON COMPTON EDITORI;FICTION;26/09/2023;STRANIERO
9788822613158;Demon slayer. Kimetsu no yaiba. Vol. 1;Gotouge Koyoharu;STAR COMICS;FICTION;17/04/2019;STRANIERO
9788822643261;One piece. New edition. Vol. 100;Oda Eiichiro;STAR COMICS;FICTION;20/09/2023;STRANIERO
9788871527741;Padre ricco padre povero. Quello che i ricchi insegnano ai figli sul denaro;Kiyosaki Robert T.,Lechter Sharon L.;GRIBAUDI;NON FICTION VARIE;01/10/2004;
9788822643520;Gachiakuta. Ediz. variant. Vol. 1;Urana Kei;STAR COMICS;FICTION;27/09/2023;
9788809935358;La mia prediletta;Hausmann Romy;GIUNTI EDITORE;FICTION;30/08/2023;STRANIERO
9788868363338;Donne che corrono coi lupi;Pinkola EstÇs Clarissa;SPERLING & KUPFER;NON FICTION VARIE;21/06/2016;
9788822641939;One piece. Vol. 105;Oda Eiichiro;STAR COMICS;FICTION;02/08/2023;STRANIERO
9788817178365;La rivoluzione del merito;Ricolfi Luca;RIZZOLI;NON FICTION GENERALI;05/09/2023;
9788806216467;Norwegian wood. Tokyo blues;Murakami Haruki;EINAUDI;FICTION;19/03/2013;STRANIERO
